职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
职位,公司,地点,处理后的地址,发布时间,薪水,最低薪水,最高薪水,学历,处理后的学历
车后区域督导15866,车好多-瓜子二手车,异地招聘,,09-08,0.9-1.2万/月,9000.0,12000.0,学历要求：,
高级销售工程师/客户经理,埃迈诺冠气动器材（上海）有限公司,北京-朝阳区,北京,09-08,,,,学历要求：本科,本科
学术推广经理/主管,马应龙药业集团股份有限公司,北京,北京,09-08,12-18万/年,10000.0,15000.0,学历要求：本科,本科
Adidas东方广场店导购店员,中智职业发展有限公司,北京-东城区,北京,09-08,190元/天,5700.0,5700.0,学历要求：,
设备管理专员,顺丰快运华北分公司,北京-顺义区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：本科,本科
包住银行分期客服（五险一金）,圣甲科技,北京-丰台区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：大专,大专
规划顾问,新东方大学事业部,北京,北京,09-08,5-6千/月,5000.0,6000.0,学历要求：本科,本科
人事经理,华睿交通科技有限公司,北京-朝阳区,北京,09-08,1-1.8万/月,10000.0,18000.0,学历要求：硕士,硕士
资金管理经理（北京省公司）,宝能汽车销售有限公司,北京-房山区,北京,09-08,1.1-1.6万/月,11000.0,16000.0,学历要求：本科,本科
北京地铁安检包吃住轻松,北京恒安卫士保安服务有限公司广州分公司,北京-海淀区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：,
区域业务经理,西安弗卡斯数据科技有限公司,异地招聘,,09-08,5-8千/月,5000.0,8000.0,学历要求：本科,本科
海外广告设计师,兰亭集势,异地招聘,,09-08,1-2万/月,10000.0,20000.0,学历要求：本科,本科
环境监测,本原绿洲（北京）环保科技发展有限公司,北京,北京,09-08,4-6千/月,4000.0,6000.0,学历要求：中专,中专
直播主播,北京奥丁国际旅游有限公司,北京-昌平区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
数据分析师助理,华云数通科技（北京）有限公司,北京-海淀区,北京,09-08,5-7千/月,5000.0,7000.0,学历要求：大专,大专
销售经理,北京多点在线科技有限公司,北京-海淀区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
化学分析研究员,上海润诺生物科技有限公司,北京,北京,09-08,,,,学历要求：本科,本科
产品测试技术员,中国人民解放军第五七一八工厂,北京,北京,09-08,,,,学历要求：本科,本科
行政人事助理,北京欣泉科技有限公司,北京-海淀区,北京,09-08,4-6千/月,4000.0,6000.0,学历要求：大专,大专
部门助理,上海艾为电子技术股份有限公司,北京,北京,09-08,,,,学历要求：本科,本科
银行分期客服包住（五险一金）,合肥言有物信息产业有限公司,北京-丰台区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：大专,大专
水质化验员兼维修,武汉爱普工业服务有限公司,北京-密云区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：中专,中专
售后服务专员,北京诚大商贸有限公司,北京-朝阳区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
金融交易员,北京储慧国际咨询有限公司,北京-朝阳区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：,
商品展示/软装设计师[美克美家北京],美克家居-美克美家,北京-丰台区,北京,09-08,5-7千/月,5000.0,7000.0,学历要求：大专,大专
影城全职服务员-卢米埃北京,北京卢米埃时代电影院线有限公司,北京-大兴区,北京,09-08,3-4.5千/月,3000.0,4500.0,学历要求：中专,中专
建筑设计（北京）,华东建筑设计研究院有限公司,北京,北京,09-08,,,,学历要求：大专,大专
客服文员,北京神鹰国际货运有限公司,北京-顺义区,北京,09-08,3-4.5千/月,3000.0,4500.0,学历要求：大专,大专
项目助理,投资北京国际有限公司,北京,北京,09-08,3-4千/月,3000.0,4000.0,学历要求：本科,本科
销售顾问（有赞）,北京凤中乾广告有限公司,北京-朝阳区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：大专,大专
急聘应届生销售,北京骄阳房地产经纪有限公司,北京-朝阳区,北京,09-08,0.4-1万/月,4000.0,10000.0,学历要求：初中及以下,初中及以下
软件测试工程师,北京中农信达信息技术有限公司,北京-海淀区,北京,09-08,1-2万/月,10000.0,20000.0,学历要求：本科,本科
代某外资医疗企业招聘 AP助理（企业直签）,北京外企人力资源服务有限公司,北京-朝阳区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：本科,本科
超市诚聘理货员工作轻松,安能维通（北京）科技有限公司,北京-昌平区,北京,09-08,4.3-5.5千/月,4300.0,5500.0,学历要求：初中及以下,初中及以下
猎头助理/高端招聘/0基础培训,埃摩森网络科技（上海）有限公司,北京-朝阳区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：本科,本科
房产经纪人/全北京就近分配/优秀团队,北京链家置地房地产经纪有限公司-BJ054,北京,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：本科,本科
会计,中能华辰控股集团有限公司,北京-朝阳区,北京,09-08,0.5-1万/月,5000.0,10000.0,学历要求：大专,大专
自动控制系统工程师,北京三融科技有限公司,北京-大兴区,北京,09-08,0.8-1.2万/月,8000.0,12000.0,学历要求：大专,大专
京东淘宝客服,洛威克（北京）科技有限公司,北京-大兴区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：大专,大专
产品经理（细胞）,北京永华燕芸生物科技有限公司,北京-丰台区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
培训专员/助理,北京索迪斯服务有限公司,北京-朝阳区,北京,09-08,6-7千/月,6000.0,7000.0,学历要求：本科,本科
财务经理,北京钥途冷运物流有限公司,北京-丰台区,北京,09-08,2-2.5万/月,20000.0,25000.0,学历要求：本科,本科
电话销售,北京隆基盛世国际教育咨询中心,北京-丰台区,北京,09-08,3-4.5千/月,3000.0,4500.0,学历要求：,
工程造价师,北京安达惠木业有限公司,北京-朝阳区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：大专,大专
电气助理工程师,康纳克斯（北京）工程技术有限公司,北京-朝阳区,北京,09-08,0.6-1.5万/月,6000.0,15000.0,学历要求：硕士,硕士
急聘汽车维修技师急急急,北京晟仕嘉华商贸有限公司,北京-通州区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：,
女装高级导购,深圳宝业时装零售有限公司,北京-东城区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：,
高精地图引擎研发工程师,理想汽车,北京-朝阳区,北京,09-08,25-40万/年,20833.333333333332,33333.333333333336,学历要求：本科,本科
工艺指导,朗姿股份有限公司,北京-朝阳区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
赴日机场工作人员,重庆国际劳务培训中心有限公司,北京,北京,09-08,1.5-2千/月,1500.0,2000.0,学历要求：大专,大专
高级Java开发工程师 (MJ003906),广联达,北京,北京,09-08,2-2.8万/月,20000.0,28000.0,学历要求：本科,本科
销售代表,北京同心行科贸有限公司,北京-西城区,北京,09-08,5-8千/月,5000.0,8000.0,学历要求：大专,大专
大客户经理-小米-北京,全芯科电子技术（深圳）有限公司,北京,北京,09-08,15-20万/年,12500.0,16666.666666666668,学历要求：本科,本科
前端工程师,北京哲石科技咨询有限公司,北京-朝阳区,北京,09-08,0.7-1.1万/月,7000.0,11000.0,学历要求：本科,本科
工程资料员,北京荣景天悦电力设备安装有限公司,北京-海淀区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：大专,大专
售前/售后技术支持工程师,北京星光莱特电子有限公司,北京-大兴区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：大专,大专
销售工程师,宁波常成企业管理咨询有限公司,北京,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
急聘-北京微商城运营（有赞小鹅通）,英伦云学,北京-朝阳区,北京,09-08,2-3万/月,20000.0,30000.0,学历要求：本科,本科
HRBP,上海卓越睿新数码科技有限公司,北京,北京,09-08,0.8-1.4万/月,8000.0,14000.0,学历要求：本科,本科
财务助理,北京有人云科技有限公司,北京-大兴区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：大专,大专
互联网行业  猎头顾问（朝阳门）,北京嗨猎咨询有限公司,北京-朝阳区,北京,09-08,0.6-1.2万/月,6000.0,12000.0,学历要求：本科,本科
招聘主管,北京联东模板有限公司,北京-通州区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
资金管理岗,信泰人寿保险股份有限公司,北京-朝阳区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：本科,本科
招聘主管,北京联东投资（集团）有限公司,北京-通州区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
高级转载编辑,深圳木棉说科技股份有限公司,北京-朝阳区,北京,09-08,0.8-1.5万/月,8000.0,15000.0,学历要求：本科,本科
披萨师傅,北京星坐餐饮服务有限公司,北京-朝阳区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：,
生鲜电商负责人（新区储备） (MJ000974),广州市钱大妈农产品有限公司,异地招聘,,09-08,1.5-3.5万/月,15000.0,35000.0,学历要求：大专,大专
质量主管,欧必翼科技集团有限公司,北京,北京,09-08,6-9千/月,6000.0,9000.0,学历要求：大专,大专
高级运维工程师,江苏人加信息科技有限公司,北京-海淀区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：大专,大专
销售顾问+底薪8000+高提成,麦田房产,北京-朝阳区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
区域销售经理-北京,深圳因赛德思医疗科技有限公司,北京,北京,09-08,20-30万/年,16666.666666666668,25000.0,学历要求：本科,本科
招商经理,北京诺德佳医疗科技有限公司,北京-海淀区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：大专,大专
线上合规团队行政,上海明酷营销服务有限公司,北京-东城区,北京,09-08,6-7千/月,6000.0,7000.0,学历要求：本科,本科
电力工程预算员资料员,丹东东阔贸易有限公司,北京-海淀区,北京,09-08,4-8千/月,4000.0,8000.0,学历要求：大专,大专
前端开发工程师,珠海市新德汇信息技术有限公司,北京-东城区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
门店运营,深圳市爱施德股份有限公司,北京-朝阳区,北京,09-08,6-9千/月,6000.0,9000.0,学历要求：本科,本科
电商管理助理,绫致时装（天津）有限公司,北京-朝阳区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
替补司机（国贸四惠区域）,北京百路通行汽车租赁有限公司,北京,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：,
市场助理,北京百川盈孚科技有限公司,北京-朝阳区,北京,09-08,4-8千/月,4000.0,8000.0,学历要求：本科,本科
童书编辑实习生,北京童立方文化品牌管理有限公司,北京-大兴区,北京,09-08,3-4.5千/月,3000.0,4500.0,学历要求：本科,本科
0931BU-高级行政专员,平安健康保险股份有限公司,北京-朝阳区,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
市场策划高级专员,科华恒盛股份有限公司,北京-海淀区,北京,09-08,1-1.5万/月,10000.0,15000.0,学历要求：本科,本科
门店人事销售后勤（北京通州菲玛）,四川菲玛贸易有限公司,北京-通州区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：中专,中专
北京房山首创奥莱奢侈品服装导购,上海崇定商贸有限公司,北京,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：高中,高中
出差普工搬运工叉车工 月薪过万,盈江晨俊物流有限公司,异地招聘,,09-08,1-1.5万/月,10000.0,15000.0,学历要求：初中及以下,初中及以下
人力资源经理,中京卫保安服务（北京）有限公司,北京-朝阳区,北京,09-08,0.6-1万/月,6000.0,10000.0,学历要求：大专,大专
总经理助理,国资华泰鼎盛（北京）投资管理有限公司,北京,北京,09-08,1.5-2万/月,15000.0,20000.0,学历要求：大专,大专
器械临床研究项目经理/高级临床研究项目经理CTM/SCTM,南京希麦迪医药科技有限公司,异地招聘,,09-08,1.5-2万/月,15000.0,20000.0,学历要求：本科,本科
专利费用岗位流程文员,北京派特恩知识产权代理有限公司,北京-海淀区,北京,09-08,5-7千/月,5000.0,7000.0,学历要求：大专,大专
高薪石景山接听客服,北京百思特捷迅科技有限公司,北京-石景山区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
人事,北京威特空间科技有限公司,北京-大兴区,北京,09-08,0.8-1.2万/月,8000.0,12000.0,学历要求：本科,本科
桌面运维工程师（接受实习）,北京天润融通科技股份有限公司,北京-大兴区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：本科,本科
工程技术中心总监(J10556),石榴物业服务集团有限公司,北京-丰台区,北京,09-08,3-4万/月,30000.0,40000.0,学历要求：大专,大专
营业企画专员/企划专员,松下电器（中国）有限公司 环境方案公司,北京-大兴区,北京,09-08,0.8-1万/月,8000.0,10000.0,学历要求：本科,本科
客户经理,上海梓华财务咨询股份有限公司,异地招聘,,09-08,2-2.5万/月,20000.0,25000.0,学历要求：大专,大专
UI设计师,北京思卓软件有限公司,北京-昌平区,北京,09-08,4-6千/月,4000.0,6000.0,学历要求：大专,大专
外派会计（医疗保障局）,深圳日浩会计师事务所,北京,北京,09-08,0.8-1.2万/月,8000.0,12000.0,学历要求：本科,本科
人力客服主管/专员（北京）,人事人（北京）科技有限公司,北京-朝阳区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
地区商务经理_MMS_北京,碧迪医疗器械（上海）有限公司,北京,北京,09-08,1.8-2.4万/月,18000.0,24000.0,学历要求：本科,本科
销售代表,广州源井生物科技有限公司,异地招聘,,09-08,0.6-1万/月,6000.0,10000.0,学历要求：大专,大专
总经理助理,泰嘉国际教育科技（北京）有限公司,北京-顺义区,北京,09-08,1.2-1.8万/月,12000.0,18000.0,学历要求：硕士,硕士
社群运营,天津奕博鸿盛企业管理咨询有限公司,北京,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：大专,大专
软件图形开发工程师(C++建筑桥梁岩土二三维图形平台）,北京迈达斯技术有限公司,北京-海淀区,北京,09-08,1.5-3万/月,15000.0,30000.0,学历要求：大专,大专
注塑操作工,北京安和加利尔科技有限公司,北京-大兴区,北京,09-08,4.5-6千/月,4500.0,6000.0,学历要求：中技,中技
前台接待（165以上+口才好）,北京乐都会文化传播有限公司,北京-海淀区,北京,09-08,1000元/天,30000.0,30000.0,学历要求：初中及以下,初中及以下
中级开发工程师,北京数码易知科技发展有限责任公司,北京,北京,09-08,1.6-2万/月,16000.0,20000.0,学历要求：本科,本科
财务出纳,北京康泰隆科技发展有限公司,北京-海淀区,北京,09-08,5-7千/月,5000.0,7000.0,学历要求：大专,大专
办公室出库管理员,北京如日火炉火餐饮有限公司一城分公司,北京-顺义区,北京,09-08,6-8千/月,6000.0,8000.0,学历要求：中专,中专
解决方案工程师（智慧城市/园区）,亚信科技SMC,北京-海淀区,北京,09-08,1.5-2.8万/月,15000.0,28000.0,学历要求：本科,本科
